CaseID,ResponseType,TargetDensity,ActualDensity,DensityError,PreserveAnchors,ActualAnchorPreservation,AnchorMismatch,ComplementarityBias,ActualGapFill,GapMismatch,StructureType,EnergyProfile,VariantKind
Base_H40_FrontLoaded_AccentedEnding,Mirror,0.416667,0.416667,3.33333e-07,True,1,0,0.25,0.325,0.075,FrontLoaded,AccentedEnding,Base
Base_H40_FrontLoaded_Flat,Complement,0.366667,0.322917,0.0437503,True,1,0,0.75,0.83871,0.08871,FrontLoaded,Flat,Base
Base_H40_FrontLoaded_Increasing,Mirror,0.416667,0.416667,3.33333e-07,False,1,1,0.3,0.325,0.025,FrontLoaded,Increasing,Base
Base_H44_AnchorLed_AccentedEnding,Complement,0.408333,0.239583,0.16875,True,1,0,0.75,0.782609,0.032609,AnchorLed,AccentedEnding,Base
Base_H44_AnchorLed_Flat,Complement,0.408333,0.239583,0.16875,True,1,0,0.75,0.782609,0.032609,AnchorLed,Flat,Base
Base_H44_AnchorLed_Increasing,Complement,0.408333,0.239583,0.16875,True,1,0,0.75,0.782609,0.032609,AnchorLed,Increasing,Base
Base_H44_BackLoaded_AccentedEnding,Mirror,0.458333,0.458333,3.33333e-07,True,1,0,0.25,0.318182,0.068182,BackLoaded,AccentedEnding,Base
Base_H44_BackLoaded_Flat,Mirror,0.458333,0.458333,3.33333e-07,True,1,0,0.25,0.318182,0.068182,BackLoaded,Flat,Base
Base_H44_BackLoaded_Increasing,Mirror,0.458333,0.458333,3.33333e-07,True,1,0,0.25,0.318182,0.068182,BackLoaded,Increasing,Base
Base_H44_Clustered_AccentedEnding,Contrast,0.458333,0.25,0.208333,False,0,0,0.7,0.833333,0.133333,Clustered,AccentedEnding,Base
Base_H44_Clustered_Flat,Mirror,0.458333,0.458333,3.33333e-07,False,0,0,0.325,0.295455,0.029545,Clustered,Flat,Base
Base_H44_Clustered_Increasing,Contrast,0.458333,0.25,0.208333,False,0,0,0.7,0.833333,0.133333,Clustered,Increasing,Base
Base_H44_Even_AccentedEnding,Complement,0.408333,0.322917,0.0854163,True,1,0,0.75,0.83871,0.08871,Even,AccentedEnding,Base
Base_H44_Even_Flat,Complement,0.408333,0.322917,0.0854163,True,1,0,0.75,0.83871,0.08871,Even,Flat,Base
Base_H44_Even_Increasing,Contrast,0.458333,0.458333,3.33333e-07,False,1,1,0.7,0.909091,0.209091,Even,Increasing,Base
