CaseID,ResponseType,TargetDensity,ActualDensity,DensityError,PreserveAnchors,ActualAnchorPreservation,AnchorMismatch,ComplementarityBias,ActualGapFill,GapMismatch,StructureType,EnergyProfile,VariantKind
Variant_H36_BackLoaded_Increasing,Mirror,0.375,0.375,0,True,1,0,0.25,0.416667,0.166667,BackLoaded,Increasing,Variant
Variant_H36_Clustered_AccentedEnding,Contrast,0.375,0.28125,0.09375,False,0,0,0.7,0.888889,0.188889,Clustered,AccentedEnding,Variant
Variant_H36_Clustered_Flat,Complement,0.325,0.28125,0.04375,False,0,0,0.8,0.851852,0.051852,Clustered,Flat,Variant
Variant_H36_Clustered_Increasing,Complement,0.325,0.291667,0.0333333,False,0,0,0.8,0.857143,0.057143,Clustered,Increasing,Variant
Variant_H36_Even_AccentedEnding,Mirror,0.375,0.375,0,True,1,0,0.25,0.361111,0.111111,Even,AccentedEnding,Variant
Variant_H36_Even_Flat,Complement,0.325,0.291667,0.0333333,True,1,0,0.75,0.857143,0.107143,Even,Flat,Variant
Variant_H36_Even_Increasing,Mirror,0.375,0.375,0,True,1,0,0.25,0.388889,0.138889,Even,Increasing,Variant
Variant_H36_FrontLoaded_AccentedEnding,Mirror,0.375,0.375,0,True,1,0,0.25,0.333333,0.083333,FrontLoaded,AccentedEnding,Variant
Variant_H36_FrontLoaded_Flat,Complement,0.325,0.3125,0.0125,True,1,0,0.75,0.866667,0.116667,FrontLoaded,Flat,Variant
Variant_H36_FrontLoaded_Increasing,Complement,0.325,0.3125,0.0125,False,1,1,0.8,0.866667,0.066667,FrontLoaded,Increasing,Variant
Variant_H40_AnchorLed_AccentedEnding,Complement,0.366667,0.25,0.116667,True,1,0,0.75,0.791667,0.041667,AnchorLed,AccentedEnding,Variant
Variant_H40_AnchorLed_Flat,Complement,0.366667,0.28125,0.085417,True,1,0,0.75,0.814815,0.064815,AnchorLed,Flat,Variant
Variant_H40_AnchorLed_Increasing,Complement,0.366667,0.260417,0.10625,True,1,0,0.75,0.8,0.05,AnchorLed,Increasing,Variant
Variant_H40_BackLoaded_AccentedEnding,Mirror,0.416667,0.416667,3.33333e-07,True,1,0,0.25,0.3,0.05,BackLoaded,AccentedEnding,Variant
Variant_H40_BackLoaded_Flat,Mirror,0.416667,0.416667,3.33333e-07,True,1,0,0.25,0.375,0.125,BackLoaded,Flat,Variant
Variant_H40_BackLoaded_Increasing,Mirror,0.416667,0.416667,3.33333e-07,True,1,0,0.25,0.375,0.125,BackLoaded,Increasing,Variant
Variant_H40_Clustered_AccentedEnding,Contrast,0.416667,0.3125,0.104167,False,0.5,0.5,0.7,0.866667,0.166667,Clustered,AccentedEnding,Variant
Variant_H40_Clustered_Flat,Mirror,0.416667,0.416667,3.33333e-07,False,0,0,0.325,0.325,0,Clustered,Flat,Variant
Variant_H40_Clustered_Increasing,Contrast,0.416667,0.270833,0.145834,False,0,0,0.7,0.846154,0.146154,Clustered,Increasing,Variant
Variant_H40_Even_AccentedEnding,Complement,0.366667,0.3125,0.054167,True,0.5,0.5,0.75,0.833333,0.083333,Even,AccentedEnding,Variant
Variant_H40_Even_Flat,Complement,0.366667,0.291667,0.0750003,True,1,0,0.75,0.821429,0.071429,Even,Flat,Variant
Variant_H40_Even_Increasing,Contrast,0.416667,0.416667,3.33333e-07,False,1,1,0.7,0.9,0.2,Even,Increasing,Variant
Variant_H40_FrontLoaded_AccentedEnding,Mirror,0.416667,0.416667,3.33333e-07,True,1,0,0.25,0.35,0.1,FrontLoaded,AccentedEnding,Variant
Variant_H40_FrontLoaded_Flat,Complement,0.366667,0.34375,0.022917,True,1,0,0.75,0.848485,0.098485,FrontLoaded,Flat,Variant
Variant_H40_FrontLoaded_Increasing,Complement,0.366667,0.322917,0.0437503,False,1,1,0.8,0.83871,0.03871,FrontLoaded,Increasing,Variant
Variant_H44_AnchorLed_AccentedEnding,Mirror,0.458333,0.458333,3.33333e-07,True,1,0,0.25,0.318182,0.068182,AnchorLed,AccentedEnding,Variant
Variant_H44_AnchorLed_Flat,Complement,0.408333,0.25,0.158333,True,1,0,0.75,0.791667,0.041667,AnchorLed,Flat,Variant
Variant_H44_AnchorLed_Increasing,Contrast,0.458333,0.177083,0.28125,False,1,1,0.7,0.764706,0.064706,AnchorLed,Increasing,Variant
Variant_H44_BackLoaded_AccentedEnding,Mirror,0.458333,0.458333,3.33333e-07,True,1,0,0.25,0.25,0,BackLoaded,AccentedEnding,Variant
Variant_H44_BackLoaded_Flat,Mirror,0.458333,0.458333,3.33333e-07,True,1,0,0.25,0.25,0,BackLoaded,Flat,Variant
Variant_H44_BackLoaded_Increasing,Mirror,0.458333,0.458333,3.33333e-07,True,1,0,0.25,0.295455,0.045455,BackLoaded,Increasing,Variant
Variant_H44_Clustered_AccentedEnding,Contrast,0.458333,0.291667,0.166666,False,0,0,0.7,0.857143,0.157143,Clustered,AccentedEnding,Variant
Variant_H44_Clustered_Flat,Complement,0.408333,0.291667,0.116666,False,0,0,0.8,0.821429,0.021429,Clustered,Flat,Variant
Variant_H44_Clustered_Increasing,Contrast,0.458333,0.291667,0.166666,False,0,0,0.7,0.857143,0.157143,Clustered,Increasing,Variant
Variant_H44_Even_AccentedEnding,Complement,0.408333,0.34375,0.064583,True,1,0,0.75,0.848485,0.098485,Even,AccentedEnding,Variant
Variant_H44_Even_Flat,Complement,0.408333,0.322917,0.0854163,True,1,0,0.75,0.83871,0.08871,Even,Flat,Variant
Variant_H44_Even_Increasing,Contrast,0.458333,0.458333,3.33333e-07,False,1,1,0.7,0.909091,0.209091,Even,Increasing,Variant
Variant_H44_FrontLoaded_AccentedEnding,Mirror,0.458333,0.458333,3.33333e-07,True,1,0,0.25,0.272727,0.022727,FrontLoaded,AccentedEnding,Variant
Variant_H44_FrontLoaded_Flat,Complement,0.408333,0.322917,0.0854163,True,1,0,0.75,0.83871,0.08871,FrontLoaded,Flat,Variant
Variant_H44_FrontLoaded_Increasing,Mirror,0.458333,0.458333,3.33333e-07,True,1,0,0.25,0.340909,0.090909,FrontLoaded,Increasing,Variant
