ResponseType,MeanOverlap,MeanGapFill,MeanAnchorPreservation,MeanDivergence,CaseCount
Mirror,0.591159,0.408841,0.886667,0.60103,300
Complement,0.125364,0.874636,0.531889,0.570458,300
Simplify,0.552821,0.447179,0.871556,0.697315,300
Intensify,0.348902,0.651098,0.862,0.534523,300
Contrast,0.106123,0.893877,0.574,0.568148,300
Fill,0.201977,0.798023,0.751556,0.551712,300
