TurnID,CaptureTime,AnalysisTime,PlanningTime,GenerationTime,PlaybackTriggerTime,TotalLatency,CompileTime,PostCaptureLatency,StructureType,EnergyProfile,VariantKind,ResponseType,HitCount,StepCount,PlaybackTriggerMode,SkeletonSelectedStepCount
Base_H08_AnchorLed_Increasing,4000,0.0165,0.0418,1.3532,0.0016,4001.4297,0.0166,1.4297,AnchorLed,Increasing,Base,Intensify,8,96,SimulatedUnityPayloadPreparation,16
Variant_H08_AnchorLed_Increasing,4000,0.0308,0.0368,1.347,0.0496,4001.4665,0.0023,1.4665,AnchorLed,Increasing,Variant,Intensify,8,96,SimulatedUnityPayloadPreparation,17
Base_H08_AnchorLed_AccentedEnding,4000,0.0155,0.0383,1.1707,0.0016,4001.2286,0.0025,1.2286,AnchorLed,AccentedEnding,Base,Intensify,8,96,SimulatedUnityPayloadPreparation,16
Variant_H08_AnchorLed_AccentedEnding,4000,0.028,0.0221,2.567,0.0804,4002.7108,0.0133,2.7108,AnchorLed,AccentedEnding,Variant,Intensify,8,96,SimulatedUnityPayloadPreparation,18
Base_H12_Even_Flat,4000,0.0561,0.0359,1.1749,0.0014,4001.2733,0.005,1.2733,Even,Flat,Base,Intensify,12,96,SimulatedUnityPayloadPreparation,28
Variant_H12_Even_Flat,4000,0.016,0.0252,1.5397,0.02,4001.6027,0.0018,1.6027,Even,Flat,Variant,Intensify,12,96,SimulatedUnityPayloadPreparation,28
Base_H12_Even_Increasing,4000,0.0302,0.0297,0.9685,0.002,4001.0526,0.0222,1.0526,Even,Increasing,Base,Intensify,12,96,SimulatedUnityPayloadPreparation,27
Variant_H12_Even_Increasing,4000,0.0148,0.0451,1.2588,0.3566,4001.6774,0.0021,1.6774,Even,Increasing,Variant,Intensify,12,96,SimulatedUnityPayloadPreparation,27
Base_H12_Even_AccentedEnding,4000,0.6602,0.0346,1.0282,0.0015,4001.7268,0.0023,1.7268,Even,AccentedEnding,Base,Intensify,12,96,SimulatedUnityPayloadPreparation,27
Variant_H12_Even_AccentedEnding,4000,0.0168,0.0428,0.8747,0.0208,4001.0606,0.1055,1.0606,Even,AccentedEnding,Variant,Intensify,12,96,SimulatedUnityPayloadPreparation,27
Base_H12_FrontLoaded_Flat,4000,0.0199,0.0246,0.9378,0.0014,4000.9945,0.0108,0.9945,FrontLoaded,Flat,Base,Intensify,12,96,SimulatedUnityPayloadPreparation,28
Variant_H12_FrontLoaded_Flat,4000,0.0344,0.0439,0.8616,0.0219,4000.9635,0.0017,0.9635,FrontLoaded,Flat,Variant,Intensify,12,96,SimulatedUnityPayloadPreparation,28
Base_H12_FrontLoaded_Increasing,4000,0.0165,0.0246,0.9786,0.0194,4001.0492,0.0101,1.0492,FrontLoaded,Increasing,Base,Mirror,12,96,SimulatedUnityPayloadPreparation,13
Variant_H12_FrontLoaded_Increasing,4000,0.0995,0.0398,0.8319,0.2846,4001.2579,0.0021,1.2579,FrontLoaded,Increasing,Variant,Mirror,12,96,SimulatedUnityPayloadPreparation,13
Base_H12_FrontLoaded_AccentedEnding,4000,0.0158,0.0345,0.5874,0.0028,4000.6427,0.0022,0.6427,FrontLoaded,AccentedEnding,Base,Mirror,12,96,SimulatedUnityPayloadPreparation,13
Variant_H12_FrontLoaded_AccentedEnding,4000,0.0252,0.069,0.6574,0.0526,4000.822,0.0178,0.822,FrontLoaded,AccentedEnding,Variant,Mirror,12,96,SimulatedUnityPayloadPreparation,13
Base_H12_BackLoaded_Flat,4000,0.0155,0.086,1.3793,0.0234,4001.5077,0.0035,1.5077,BackLoaded,Flat,Base,Fill,12,96,SimulatedUnityPayloadPreparation,31
Variant_H12_BackLoaded_Flat,4000,0.0146,0.0245,1.9279,0.0021,4001.9707,0.0016,1.9707,BackLoaded,Flat,Variant,Fill,12,96,SimulatedUnityPayloadPreparation,31
Base_H12_BackLoaded_Increasing,4000,0.0442,0.032,1.8486,0.2645,4002.2107,0.0214,2.2107,BackLoaded,Increasing,Base,Intensify,12,96,SimulatedUnityPayloadPreparation,27
Variant_H12_BackLoaded_Increasing,4000,0.0415,0.0252,1.8208,0.0265,4001.916,0.002,1.916,BackLoaded,Increasing,Variant,Intensify,12,96,SimulatedUnityPayloadPreparation,27
Base_H12_BackLoaded_AccentedEnding,4000,0.0195,0.041,1.7165,0.0156,4001.7954,0.0028,1.7954,BackLoaded,AccentedEnding,Base,Intensify,12,96,SimulatedUnityPayloadPreparation,27
Variant_H12_BackLoaded_AccentedEnding,4000,0.0155,0.0245,1.0032,0.3947,4001.4502,0.0123,1.4502,BackLoaded,AccentedEnding,Variant,Intensify,12,96,SimulatedUnityPayloadPreparation,27
Base_H12_Clustered_Flat,4000,0.0163,0.0382,1.3065,0.3195,4001.6828,0.0023,1.6828,Clustered,Flat,Base,Intensify,12,96,SimulatedUnityPayloadPreparation,22
Variant_H12_Clustered_Flat,4000,0.0513,0.06,2.4803,0.0328,4002.627,0.0026,2.627,Clustered,Flat,Variant,Intensify,12,96,SimulatedUnityPayloadPreparation,22
Base_H12_Clustered_Increasing,4000,0.0394,0.0457,2.4651,0.0864,4002.6778,0.0412,2.6778,Clustered,Increasing,Base,Fill,12,96,SimulatedUnityPayloadPreparation,23
Variant_H12_Clustered_Increasing,4000,0.0212,0.0344,2.055,0.0197,4002.1338,0.0035,2.1338,Clustered,Increasing,Variant,Intensify,12,96,SimulatedUnityPayloadPreparation,22
Base_H12_Clustered_AccentedEnding,4000,0.0324,0.0264,4.2291,0.1431,4004.434,0.003,4.434,Clustered,AccentedEnding,Base,Fill,12,96,SimulatedUnityPayloadPreparation,23
Variant_H12_Clustered_AccentedEnding,4000,0.0287,0.0369,2.0956,0.0243,4002.4559,0.2704,2.4559,Clustered,AccentedEnding,Variant,Fill,12,96,SimulatedUnityPayloadPreparation,24
Base_H12_AnchorLed_Flat,4000,0.0226,0.0883,2.2306,0.0288,4002.3743,0.004,2.3743,AnchorLed,Flat,Base,Fill,12,96,SimulatedUnityPayloadPreparation,19
Variant_H12_AnchorLed_Flat,4000,0.0302,0.0287,1.7824,0.2149,4002.0583,0.0021,2.0583,AnchorLed,Flat,Variant,Fill,12,96,SimulatedUnityPayloadPreparation,20
Base_H12_AnchorLed_Increasing,4000,0.0285,0.0264,1.5576,0.318,4001.9474,0.0169,1.9474,AnchorLed,Increasing,Base,Fill,12,96,SimulatedUnityPayloadPreparation,19
Variant_H12_AnchorLed_Increasing,4000,0.0469,0.0472,1.4268,0.0047,4001.5279,0.0023,1.5279,AnchorLed,Increasing,Variant,Fill,12,96,SimulatedUnityPayloadPreparation,21
Base_H12_AnchorLed_AccentedEnding,4000,0.016,0.0613,2.4885,0.0201,4002.5881,0.0022,2.5881,AnchorLed,AccentedEnding,Base,Fill,12,96,SimulatedUnityPayloadPreparation,19
Variant_H12_AnchorLed_AccentedEnding,4000,0.0207,0.0435,1.566,0.0045,4001.6616,0.0269,1.6616,AnchorLed,AccentedEnding,Variant,Intensify,12,96,SimulatedUnityPayloadPreparation,21
Base_H16_Even_Flat,4000,0.0145,0.0249,1.3529,0.4658,4001.8603,0.0022,1.8603,Even,Flat,Base,Intensify,16,96,SimulatedUnityPayloadPreparation,32
Variant_H16_Even_Flat,4000,0.0252,0.0571,0.9052,0.0252,4001.0147,0.002,1.0147,Even,Flat,Variant,Intensify,16,96,SimulatedUnityPayloadPreparation,32
Base_H16_Even_Increasing,4000,0.0182,0.0363,1.2416,0.0174,4001.3365,0.023,1.3365,Even,Increasing,Base,Intensify,16,96,SimulatedUnityPayloadPreparation,31
Variant_H16_Even_Increasing,4000,0.0153,0.0365,1.1383,0.0016,4001.1938,0.0021,1.1938,Even,Increasing,Variant,Intensify,16,96,SimulatedUnityPayloadPreparation,31
Base_H16_Even_AccentedEnding,4000,0.0153,0.0502,0.9781,0.0607,4001.107,0.0027,1.107,Even,AccentedEnding,Base,Intensify,16,96,SimulatedUnityPayloadPreparation,31
Variant_H16_Even_AccentedEnding,4000,0.0218,0.0305,1.2181,0.0015,4001.4203,0.1484,1.4203,Even,AccentedEnding,Variant,Intensify,16,96,SimulatedUnityPayloadPreparation,31
Base_H16_FrontLoaded_Flat,4000,0.0198,0.0247,1.3382,0.0023,4001.3877,0.0027,1.3877,FrontLoaded,Flat,Base,Intensify,16,96,SimulatedUnityPayloadPreparation,32
Variant_H16_FrontLoaded_Flat,4000,0.0164,0.0281,1.0887,0.0208,4001.1563,0.0023,1.1563,FrontLoaded,Flat,Variant,Intensify,16,96,SimulatedUnityPayloadPreparation,32
Base_H16_FrontLoaded_Increasing,4000,0.0158,0.0238,1.228,0.0013,4001.2837,0.0148,1.2837,FrontLoaded,Increasing,Base,Mirror,16,96,SimulatedUnityPayloadPreparation,17
Variant_H16_FrontLoaded_Increasing,4000,0.0306,0.0234,1.3471,0.1031,4001.5072,0.003,1.5072,FrontLoaded,Increasing,Variant,Intensify,16,96,SimulatedUnityPayloadPreparation,32
Base_H16_FrontLoaded_AccentedEnding,4000,0.0581,0.0258,1.8035,0.0014,4001.8915,0.0027,1.8915,FrontLoaded,AccentedEnding,Base,Mirror,16,96,SimulatedUnityPayloadPreparation,17
Variant_H16_FrontLoaded_AccentedEnding,4000,0.0172,0.0577,1.1485,0.0014,4001.2561,0.0313,1.2561,FrontLoaded,AccentedEnding,Variant,Intensify,16,96,SimulatedUnityPayloadPreparation,31
Base_H16_BackLoaded_Flat,4000,0.0172,0.0338,1.2777,0.2795,4001.6115,0.0033,1.6115,BackLoaded,Flat,Base,Fill,16,96,SimulatedUnityPayloadPreparation,35
Variant_H16_BackLoaded_Flat,4000,0.0166,0.0445,1.2475,0.0013,4001.3118,0.0019,1.3118,BackLoaded,Flat,Variant,Intensify,16,96,SimulatedUnityPayloadPreparation,32
Base_H16_BackLoaded_Increasing,4000,0.0235,0.0244,1.0642,0.0105,4001.1357,0.0131,1.1357,BackLoaded,Increasing,Base,Intensify,16,96,SimulatedUnityPayloadPreparation,31
Variant_H16_BackLoaded_Increasing,4000,0.017,0.0317,1.6086,0.0014,4001.661,0.0023,1.661,BackLoaded,Increasing,Variant,Intensify,16,96,SimulatedUnityPayloadPreparation,31
Base_H16_BackLoaded_AccentedEnding,4000,0.0149,0.0545,1.2936,0.0017,4001.3667,0.002,1.3667,BackLoaded,AccentedEnding,Base,Intensify,16,96,SimulatedUnityPayloadPreparation,31
Variant_H16_BackLoaded_AccentedEnding,4000,0.0166,0.0245,0.9073,0.2662,4001.2372,0.0226,1.2372,BackLoaded,AccentedEnding,Variant,Intensify,16,96,SimulatedUnityPayloadPreparation,31
Base_H16_Clustered_Flat,4000,0.0158,1.1284,1.1429,0.0019,4002.2916,0.0026,2.2916,Clustered,Flat,Base,Mirror,16,96,SimulatedUnityPayloadPreparation,17
Variant_H16_Clustered_Flat,4000,0.0173,0.0334,3.9682,0.0185,4004.0394,0.002,4.0394,Clustered,Flat,Variant,Intensify,16,96,SimulatedUnityPayloadPreparation,26
Base_H16_Clustered_Increasing,4000,0.0211,0.0303,2.7447,0.0016,4002.8256,0.0279,2.8256,Clustered,Increasing,Base,Intensify,16,96,SimulatedUnityPayloadPreparation,26
Variant_H16_Clustered_Increasing,4000,0.0296,0.0366,2.2887,0.0026,4002.3598,0.0023,2.3598,Clustered,Increasing,Variant,Intensify,16,96,SimulatedUnityPayloadPreparation,26
Base_H16_Clustered_AccentedEnding,4000,0.016,0.0452,2.4264,0.0167,4002.5071,0.0028,2.5071,Clustered,AccentedEnding,Base,Contrast,16,96,SimulatedUnityPayloadPreparation,14
Variant_H16_Clustered_AccentedEnding,4000,0.0322,0.0265,1.9877,0.0021,4002.0602,0.0117,2.0602,Clustered,AccentedEnding,Variant,Contrast,16,96,SimulatedUnityPayloadPreparation,15
Base_H16_AnchorLed_Flat,4000,0.0153,0.4185,1.9618,0.1918,4002.59,0.0026,2.59,AnchorLed,Flat,Base,Fill,16,96,SimulatedUnityPayloadPreparation,21
Variant_H16_AnchorLed_Flat,4000,0.0161,0.0444,1.3686,0.0014,4001.4325,0.002,1.4325,AnchorLed,Flat,Variant,Fill,16,96,SimulatedUnityPayloadPreparation,23
Base_H16_AnchorLed_Increasing,4000,0.0159,0.0414,1.6062,0.0016,4001.7826,0.1175,1.7826,AnchorLed,Increasing,Base,Fill,16,96,SimulatedUnityPayloadPreparation,21
Variant_H16_AnchorLed_Increasing,4000,0.016,0.0232,1.6028,0.1259,4001.7703,0.0024,1.7703,AnchorLed,Increasing,Variant,Intensify,16,96,SimulatedUnityPayloadPreparation,26
Base_H16_AnchorLed_AccentedEnding,4000,0.0154,0.0473,1.7336,0.0024,4001.8012,0.0025,1.8012,AnchorLed,AccentedEnding,Base,Fill,16,96,SimulatedUnityPayloadPreparation,21
Variant_H16_AnchorLed_AccentedEnding,4000,0.2268,0.0289,2.224,0.1505,4002.651,0.0208,2.651,AnchorLed,AccentedEnding,Variant,Intensify,16,96,SimulatedUnityPayloadPreparation,24
Base_H20_Even_Flat,4000,0.0298,0.0341,1.5416,0.0018,4001.6098,0.0025,1.6098,Even,Flat,Base,Intensify,20,96,SimulatedUnityPayloadPreparation,34
Variant_H20_Even_Flat,4000,0.0188,0.0514,1.625,0.0016,4001.6989,0.0021,1.6989,Even,Flat,Variant,Intensify,20,96,SimulatedUnityPayloadPreparation,34
Base_H20_Even_Increasing,4000,0.0157,0.0272,1.0101,0.0787,4001.1397,0.008,1.1397,Even,Increasing,Base,Intensify,20,96,SimulatedUnityPayloadPreparation,33
Variant_H20_Even_Increasing,4000,0.0168,0.0823,1.0963,0.002,4001.1996,0.0022,1.1996,Even,Increasing,Variant,Intensify,20,96,SimulatedUnityPayloadPreparation,33
Base_H20_Even_AccentedEnding,4000,0.0153,0.0258,0.8643,0.2117,4001.1193,0.0022,1.1193,Even,AccentedEnding,Base,Intensify,20,96,SimulatedUnityPayloadPreparation,33
Variant_H20_Even_AccentedEnding,4000,0.0154,0.0228,1.1006,0.002,4001.154,0.0132,1.154,Even,AccentedEnding,Variant,Intensify,20,96,SimulatedUnityPayloadPreparation,33
Base_H20_FrontLoaded_Flat,4000,0.015,0.0222,2.3178,0.002,4002.3593,0.0023,2.3593,FrontLoaded,Flat,Base,Intensify,20,96,SimulatedUnityPayloadPreparation,34
Variant_H20_FrontLoaded_Flat,4000,0.5317,0.075,3.2585,0.2431,4004.1106,0.0023,4.1106,FrontLoaded,Flat,Variant,Intensify,20,96,SimulatedUnityPayloadPreparation,34
Base_H20_FrontLoaded_Increasing,4000,0.0173,0.0267,1.4953,0.0023,4001.6105,0.0689,1.6105,FrontLoaded,Increasing,Base,Mirror,20,96,SimulatedUnityPayloadPreparation,21
Variant_H20_FrontLoaded_Increasing,4000,0.0151,0.038,1.0679,0.1364,4001.2595,0.0021,1.2595,FrontLoaded,Increasing,Variant,Mirror,20,96,SimulatedUnityPayloadPreparation,21
Base_H20_FrontLoaded_AccentedEnding,4000,0.0202,0.032,1.2788,0.0016,4001.3526,0.02,1.3526,FrontLoaded,AccentedEnding,Base,Mirror,20,96,SimulatedUnityPayloadPreparation,21
Variant_H20_FrontLoaded_AccentedEnding,4000,0.0168,0.0247,1.0579,0.0018,4001.1139,0.0127,1.1139,FrontLoaded,AccentedEnding,Variant,Mirror,20,96,SimulatedUnityPayloadPreparation,21
Base_H20_BackLoaded_Flat,4000,0.1619,0.0359,2.048,0.0147,4002.2641,0.0036,2.2641,BackLoaded,Flat,Base,Fill,20,96,SimulatedUnityPayloadPreparation,39
Variant_H20_BackLoaded_Flat,4000,0.0218,0.0387,1.9181,0.0017,4001.9835,0.0032,1.9835,BackLoaded,Flat,Variant,Intensify,20,96,SimulatedUnityPayloadPreparation,34
Base_H20_BackLoaded_Increasing,4000,0.0361,0.0401,2.4453,0.2412,4002.8695,0.1068,2.8695,BackLoaded,Increasing,Base,Intensify,20,96,SimulatedUnityPayloadPreparation,33
Variant_H20_BackLoaded_Increasing,4000,0.0229,0.0435,2.3007,0.0017,4002.3723,0.0035,2.3723,BackLoaded,Increasing,Variant,Intensify,20,96,SimulatedUnityPayloadPreparation,33
Base_H20_BackLoaded_AccentedEnding,4000,0.0171,0.0288,2.4948,0.0018,4002.5448,0.0023,2.5448,BackLoaded,AccentedEnding,Base,Intensify,20,96,SimulatedUnityPayloadPreparation,33
Variant_H20_BackLoaded_AccentedEnding,4000,0.027,0.12,4.8218,0.141,4005.1524,0.0426,5.1524,BackLoaded,AccentedEnding,Variant,Intensify,20,96,SimulatedUnityPayloadPreparation,33
Base_H20_Clustered_Flat,4000,0.0352,0.0728,4.2578,0.0028,4004.3729,0.0043,4.3729,Clustered,Flat,Base,Mirror,20,96,SimulatedUnityPayloadPreparation,21
Variant_H20_Clustered_Flat,4000,0.0317,0.0461,3.8594,0.3313,4004.2723,0.0038,4.2723,Clustered,Flat,Variant,Mirror,20,96,SimulatedUnityPayloadPreparation,21
Base_H20_Clustered_Increasing,4000,0.0359,0.1334,5.5417,0.0025,4005.7446,0.0311,5.7446,Clustered,Increasing,Base,Intensify,20,96,SimulatedUnityPayloadPreparation,27
Variant_H20_Clustered_Increasing,4000,0.024,0.7675,2.5068,0.0026,4003.3054,0.0045,3.3054,Clustered,Increasing,Variant,Intensify,20,96,SimulatedUnityPayloadPreparation,28
Base_H20_Clustered_AccentedEnding,4000,0.0213,0.0568,8.8703,0.3483,4009.2998,0.0031,9.2998,Clustered,AccentedEnding,Base,Contrast,20,96,SimulatedUnityPayloadPreparation,15
Variant_H20_Clustered_AccentedEnding,4000,0.0542,0.0413,3.0309,0.0021,4003.1534,0.0249,3.1534,Clustered,AccentedEnding,Variant,Contrast,20,96,SimulatedUnityPayloadPreparation,18
Base_H20_AnchorLed_Flat,4000,0.0188,0.0819,4.4271,0.9875,4005.5183,0.003,5.5183,AnchorLed,Flat,Base,Fill,20,96,SimulatedUnityPayloadPreparation,22
Variant_H20_AnchorLed_Flat,4000,0.0351,0.9838,3.701,0.0018,4004.7253,0.0036,4.7253,AnchorLed,Flat,Variant,Intensify,20,96,SimulatedUnityPayloadPreparation,27
Base_H20_AnchorLed_Increasing,4000,0.0244,0.4369,4.8889,0.0016,4005.3659,0.0141,5.3659,AnchorLed,Increasing,Base,Fill,20,96,SimulatedUnityPayloadPreparation,22
