Metric,Count,MeanMs,MinMs,MaxMs,StdDevMs
CaptureTime,300,4000,4000,4000,0
CompileTime,300,0.034858,0.0016,2.1267,0.176989
AnalysisTime,300,0.075248,0.0137,5.8069,0.351158
PlanningTime,300,0.126742,0.0218,13.4556,0.787488
GenerationTime,300,2.296507,0.5874,44.9075,2.704277
PlaybackTriggerTime,300,0.05962,0.0013,2.0024,0.157925
PostCaptureLatency,300,2.592976,0.6427,66.3075,3.878543
TotalLatency,300,4002.592976,4000.6427,4066.3075,3.878543
