ResponseType,MeanDensity,StdDensity,MeanActiveSteps,AnchorPreservation,MeanOverlap,MeanGapFill,MeanDivergence,CaseCount
Complement,0.2032986111111111,0.08212464057443641,19.516666666666666,0.5318889,0.12536423,0.8746357733333334,0.57045817,300
Contrast,0.23552083333333335,0.1092033611057083,22.61,0.5739999933333333,0.10612305666666666,0.8938770633333333,0.5681475166666666,300
Fill,0.3911805555555556,0.12929290336417132,37.553333333333335,0.7515555933333333,0.20197657,0.7980234933333333,0.5517122,300
Intensify,0.3797916666666667,0.10466803811260214,36.46,0.8620000066666668,0.3489023133333333,0.6510977933333334,0.53452272,300
Mirror,0.2791666666666667,0.11447084526077236,26.8,0.8866666666666667,0.59115931,0.40884079,0.6010295933333333,300
Simplify,0.10552083333333333,0.04499142023838422,10.13,0.8715555600000001,0.5528209033333333,0.44717910999999994,0.6973148966666667,300
